timestamp_utc,group,strategy_kind,symbol,candle_time,event,reason,broker_order_id,broker_deal_reference,broker_deal_id
2026-05-17T08:10:03.595986+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:10:05.336467+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:10:07.094724+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:10:09.986316+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:09:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:10:11.728073+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:21.388801+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:22.768379+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:24.146933+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:26.613194+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:12:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:13:27.960111+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:49.758277+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:51.136995+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:52.516989+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:13:54.939264+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:12:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:13:56.334990+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:18.136176+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:19.498460+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:20.853815+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:23.317361+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:13:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:14:24.644947+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:37.165170+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:38.516911+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:39.888409+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:14:42.368800+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:13:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:14:43.690721+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:05.514134+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:06.873847+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:08.206815+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:10.618091+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:14:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:15:11.984544+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:33.798674+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:35.165959+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:36.513852+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:15:39.001873+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:14:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:15:40.365219+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:02.227216+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:03.598697+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:05.005792+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:07.501229+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:15:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:16:08.863533+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:30.653770+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:32.004098+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:33.336113+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:35.764834+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:15:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:16:37.125721+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:16:58.880353+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:00.230038+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:01.613093+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:03.989757+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:16:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:17:05.383477+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:27.221744+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:28.587758+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:29.918203+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:32.390178+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:16:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:17:33.750900+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:55.571732+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:56.920084+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:17:58.272678+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:00.691180+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:16:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:18:02.038026+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:23.852974+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:25.220466+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:26.578123+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:28.985655+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:17:00+00:00,reject,NO_BREAKOUT,,,
2026-05-17T08:18:30.328117+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:52.138771+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:53.496014+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:54.889652+00:00,forex_pullback_core3,forex_pullback,EURUSD,,skip,insufficient_1m_candles,,,
2026-05-17T08:18:57.343744+00:00,btc_gold_hybrid,asset_hybrid,BTCUSD,2026-05-17T08:17:00+00:00,skip,duplicate_candle,,,
2026-05-17T08:18:58.710857+00:00,btc_gold_hybrid,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,
2026-05-17T08:19:20.517199+00:00,forex_pullback_core3,forex_pullback,GBPJPY,,skip,insufficient_1m_candles,,,
2026-05-17T08:19:21.855996+00:00,forex_pullback_core3,forex_pullback,EURJPY,,skip,insufficient_1m_candles,,,
